geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA1660	1693	1.00000028069338	0.690656110132605	0.690656110713704
gacS	gene-PA0928	950	1.00001664549827	0.690656110697892	0.690656110713704
.	gene-PA0266	269	1.00001638064174	0.690656110702454	0.690656110713704
purF	gene-PA3108	3176	1.00010548023191	0.690656110709919	0.690656110713704
.	gene-PA0389	393	1.00013771466095	0.690656110709978	0.690656110713704
dsbC	gene-PA3737	3825	1.00018884695941	0.690656110711111	0.690656110713704
flgF	gene-PA1081	1106	1.00013408486556	0.690656110711523	0.690656110713704
.	gene-PA0015	15	1.00052814934315	0.69065611071182	0.690656110713704
.	gene-PA3722	3809	1.00072340279735	0.690656110711893	0.690656110713704
.	gene-PA5438	5596	1.00085835230351	0.690656110712015	0.690656110713704
.	gene-PA3295	3367	1.0006339134859	0.690656110712033	0.690656110713704
.	gene-PA0733	746	1.00035482519186	0.690656110712084	0.690656110713704
.	gene-PA3955	4046	1.0006407756756	0.690656110712174	0.690656110713704
algR	gene-PA5261	5412	1.00051720126019	0.690656110712177	0.690656110713704
.	gene-PA3352	3427	1.0018901946553	0.690656110712234	0.690656110713704
.	gene-PA4425	4536	1.00082679320215	0.690656110712259	0.690656110713704
.	gene-PA4399	4508	1.00045841441821	0.690656110712275	0.690656110713704
.	gene-PA0601	608	1.00085141253172	0.690656110712277	0.690656110713704
rhl	gene-PA3861	3949	1.00154353007072	0.690656110712338	0.690656110713704
ltaA	gene-PA5413	5570	1.00170934339047	0.690656110712339	0.690656110713704
purL	gene-PA3763	3851	1.00155376287546	0.690656110712349	0.690656110713704
.	gene-PA4933	5076	1.00211677928813	0.690656110712402	0.690656110713704
pabC	gene-PA2964	3026	1.00240041893271	0.690656110712407	0.690656110713704
.	gene-PA1592	1624	1.00399391067124	0.690656110712409	0.690656110713704
.	rna-PA4406.1	4516	1.00360944638594	0.690656110712415	0.690656110713704
.	gene-PA1885	1930	1.00105463643529	0.690656110712451	0.690656110713704
.	gene-PA3301	3373	1.00301001624897	0.690656110712454	0.690656110713704
.	gene-PA0052	55	1.00134718753581	0.690656110712455	0.690656110713704
.	gene-PA2854	2914	1.00300177746116	0.69065611071246	0.690656110713704
.	gene-PA0039	40	1.00511332856969	0.690656110712473	0.690656110713704
.	gene-PA4396	4505	1.00143356437396	0.690656110712495	0.690656110713704
liuA	gene-PA2015	2059	1.00228330958559	0.690656110712496	0.690656110713704
lipB	gene-PA3997	4088	1.00474328938759	0.6906561107125	0.690656110713704
glnD	gene-PA3658	3745	1.0009224588182	0.690656110712501	0.690656110713704
.	gene-PA2407	2456	1.00076747369217	0.690656110712507	0.690656110713704
pilJ	gene-PA0411	415	1.00293894347341	0.690656110712508	0.690656110713704
gltA	gene-PA1580	1612	1.00228723962627	0.690656110712509	0.690656110713704
rplX	gene-PA4252	4345	1.00472768155931	0.690656110712514	0.690656110713704
.	gene-PA0144	147	1.00247476490495	0.690656110712524	0.690656110713704
.	gene-PA2993	3055	1.00258300293404	0.690656110712526	0.690656110713704
.	gene-PA1740	1773	1.00128086622258	0.690656110712533	0.690656110713704
purA	gene-PA4938	5083	1.00669262025064	0.690656110712537	0.690656110713704
ureC	gene-PA4868	5012	1.00205917120603	0.690656110712537	0.690656110713704
ftsY	gene-PA0373	377	1.00392268577042	0.690656110712538	0.690656110713704
.	gene-PA0718	730	1.00251171401994	0.69065611071254	0.690656110713704
truB	gene-PA4742	4882	1.00378499753487	0.690656110712543	0.690656110713704
.	gene-PA5120	5265	1.00310163457588	0.690656110712544	0.690656110713704
mutM	gene-PA0357	361	1.00501935829546	0.690656110712547	0.690656110713704
clpA	gene-PA2620	2671	1.00340044959244	0.690656110712551	0.690656110713704
pqsH	gene-PA2587	2637	1.00350850414067	0.690656110712566	0.690656110713704
